publication_number,speech,vision,nlp,kr,evo,ml,planning,hardware,comments,examiner_id
US-7343702-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9132804-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4142782-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2009105153-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018113919-A1,not_AI,not_AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2018054451-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-5971031-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8937092-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9652973-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013272275-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2008303770-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-9539658-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2005246302-A1,not_AI,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,,1
US-7283951-B2,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9037463-B2,AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-3995021-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016014582-A1,not_AI,not_AI,not_AI,AI,not_AI,AI,not_AI,not_AI,,1
US-2009252102-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-8688401-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-2014342346-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7486077-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2011052286-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9702906-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017148809-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9428009-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6111415-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4718346-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016088213-A1,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,image enhancement,1
US-7913525-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7657393-B2,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,not_AI,,1
US-9855657-B2,not_AI,not_AI,not_AI,AI,not_AI,not_AI,AI,not_AI,,1
US-9711122-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2012226291-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7842527-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6100623-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,,1
US-2017364850-A1,not_AI,not_AI,AI,AI,not_AI,AI,not_AI,not_AI,,1
US-2009304476-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2003177450-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,AI,,1
US-5339090-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,,1
US-7847225-B2,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,AI,,1
US-9020907-B2,not_AI,not_AI,AI,AI,not_AI,AI,not_AI,not_AI,,1
US-2017212176-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018374287-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-8254997-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-2008028728-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4739496-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2004048374-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5479573-A,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2015377232-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7299307-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017286401-A1,not_AI,not_AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-4796484-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2015134392-A1,not_AI,not_AI,AI,AI,not_AI,AI,not_AI,not_AI,,1
US-2011320178-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,not_AI,,1
US-2008104476-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016055237-A1,not_AI,AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2012099835-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2005044209-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-2002110088-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,"Almost an adaptive system, (planning/control) but I don't think the claims recite enough to qualify.",1
US-2011254325-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2007297857-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7159830-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5042175-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8605259-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2015095017-A1,not_AI,not_AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2006045604-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2006100074-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8095219-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7975973-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013154968-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-RE32003-E,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6483297-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018127928-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5154797-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6865535-B2,AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018181822-A1,not_AI,AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-8712758-B2,not_AI,not_AI,AI,AI,not_AI,not_AI,not_AI,not_AI,,1
US-9332071-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8285239-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4253434-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6411083-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9326906-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8790205-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2012022853-A1,AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8296148-B1,AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017278067-A1,AI,not_AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2013018835-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-9015047-B1,AI,not_AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-4359904-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4488849-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8773417-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2014246990-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2011171632-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017024858-A1,not_AI,AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2012009534-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017286400-A1,not_AI,not_AI,AI,AI,not_AI,not_AI,not_AI,not_AI,,1
US-2009051706-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2006068458-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2010310548-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018081730-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,not_AI,,1
US-6462586-B1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,AI,,1
US-9747107-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7274762-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5174925-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7041726-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4078206-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2008221879-A1,AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2012274384-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6371177-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5202066-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8598251-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6018730-A,not_AI,not_AI,AI,AI,not_AI,AI,AI,not_AI,,1
US-5643553-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016004931-A1,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9938654-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7808566-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8949302-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2011032858-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2015066829-A1,not_AI,not_AI,AI,AI,not_AI,AI,not_AI,not_AI,,1
US-5069241-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6346029-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9185307-B2,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018285248-A1,not_AI,not_AI,AI,AI,not_AI,AI,AI,not_AI,,1
US-5837804-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2012179827-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013129728-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016353353-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9427443-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016191062-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018169078-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013024186-A1,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013233782-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8354604-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2005065902-A1,not_AI,not_AI,not_AI,AI,not_AI,AI,AI,not_AI,,1
US-2014204696-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017076217-A1,not_AI,not_AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-5265274-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7027077-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2004059565-A1,not_AI,not_AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2012102512-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,not_AI,,1
US-9227547-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2015256714-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2003167813-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5733773-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5487026-A,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,AI,,1
US-4385440-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018345951-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-9341720-B2,not_AI,AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-6287081-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-2015242280-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-2013097491-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-7055359-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2011320396-A1,not_AI,not_AI,AI,AI,not_AI,not_AI,not_AI,not_AI,,1
US-2011318236-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8775343-B2,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,not_AI,,1
US-9589654-B2,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2008200010-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8934649-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9294606-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017215806-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-7817939-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017309869-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2014051215-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013346381-A1,not_AI,not_AI,AI,AI,not_AI,AI,not_AI,not_AI,Very informal claims. Applicant is likely pro se.,1
US-6681215-B2,not_AI,not_AI,not_AI,AI,not_AI,AI,not_AI,not_AI,,1
US-6562743-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9854660-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013041097-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2012276110-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2014188433-A1,not_AI,not_AI,not_AI,AI,not_AI,AI,AI,not_AI,,1
US-6204480-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2014364859-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2002030818-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2009269134-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2007008638-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2015324689-A1,not_AI,not_AI,not_AI,AI,not_AI,AI,not_AI,not_AI,,1
US-4810642-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5148055-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9141296-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2002176427-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4785105-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7552450-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8037928-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-10113933-B2,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5223750-A,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,AI,,1
US-2012005290-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018003570-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4280912-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7510574-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5544798-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9603100-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017250558-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5173224-A,not_AI,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016012033-A1,not_AI,not_AI,AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-2018307218-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-5619614-A,not_AI,not_AI,not_AI,AI,not_AI,not_AI,AI,not_AI,,1
US-2014235068-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2014032457-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,AI,,1
US-4302898-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2011106892-A1,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6341630-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5267543-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9908805-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017002140-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
